handle,compatible_brackets
light-duty-rod-actuator,mb1-bracket/mb6/mb10-bracket
super-duty-actuators,mb-17-mounting-bracket-for-super-duty-actuators/mb-20-mounting-bracket-for-super-duty-actuators/mb-21-bracket-for-super-duty-actuators
utility-linear-actuators,mb1-p/mb1-bracket/mb2
adjustable-stroke-linear-actuators,mb1-p/mb10-bracket/mb-pb-premium-base-mounting-bracket
bullet-series-35-cal-linear-actuators,mb35-mounting-bracket
deluxe-rod-actuator,mb3/mb3u
heavy-duty,mb3/mb3u
premium-linear-actuators,mb1-p/mb-pb-premium-base-mounting-bracket/mb6-p-bracket/mb10-bracket
premium-high-force-linear-actuators,mb1-p
feedback-rod-actuator,mb1-bracket/mb6/mb10-bracket
heavy-duty-track-actuator,mb5
high-speed-actuator,mb8-bracket
mini-track-actuator,mb1-bracket/mb9-bracket
optical-sensor-actuators,mb1-p/mb6-p-bracket/mb-pb-premium-base-mounting-bracket/mb10-bracket
tubular-linear-actuator,mb2
mini-linear-actuator,mb1-p/mb10-bracket/mb6
bullet-series-mini-actuators,mb14-bracket
bullet-series-50-cal-linear-actuators,mb50-mounting-bracket/mb50c/mb50u-mounting-bracket
heavy-duty-linear-actuator-ip66,mb3/mb3u
bullet-series-36-cal-linear-actuators,mb36/mb36c/mb36sm
bullet-series-23-cal,mb14-bracket
power-max-heavy-duty-actuators,mb18-mounting-brackets
c-series-actuators,mb6/mb1-p
industrial-heavy-duty-linear-actuators,mb3u
