Stroke,12v,24v,Sensor,Force,Type,URL,Name,Image,Price
1_2_3_4_6_9_12_18_24,12v,24v,,35,Rod,light-duty-rod-actuator,Class Rod Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/classic-linear-actuator-full_1_300x300.jpg?v=1663963255,143.99
1_2_3_4_6_9_12_18_24,12v,24v,,150,Rod,light-duty-rod-actuator,Class Rod Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/classic-linear-actuator-full_1_300x300.jpg?v=1663963255,143.99
1_2_3_4_6_9_12_18_24,12v,24v,,200,Rod,light-duty-rod-actuator,Class Rod Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/classic-linear-actuator-full_1_300x300.jpg?v=1663963255,143.99

1_2_3_4_6_9_12_18_24_30,12v,,,35,Rod,premium-linear-actuators,P-Series Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/FA-35-12-X-P_v2_2x_800x_2eb6bb6a-56f7-4f48-9b9f-4aee196c91c1_300x300.jpg?v=1645127440,159.99
1_2_3_4_6_9_12_18_24_30,12v,,,150,Rod,premium-linear-actuators,P-Series Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/FA-35-12-X-P_v2_2x_800x_2eb6bb6a-56f7-4f48-9b9f-4aee196c91c1_300x300.jpg?v=1645127440,159.99
1_2_3_4_6_9_12_18_24_30,12v,,,200,Rod,premium-linear-actuators,P-Series Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/FA-35-12-X-P_v2_2x_800x_2eb6bb6a-56f7-4f48-9b9f-4aee196c91c1_300x300.jpg?v=1645127440,159.99

2_4_6_9_12_18_24_30,12v,,,400,Rod,premium-high-force-linear-actuators,P-Series High Force Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/high_froce_premium-min-2_300x300.jpg?v=1674512685,170.00

2_3_4_6_8_12,12v,24v,Pot,35,Rod,feedback-rod-actuator,Feedback Rod Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-feedback-rod-linear-actuator_1366x_175d02f7-2d79-404e-a4dd-6c8445bbbff6_300x300.jpg?v=1645125764,180.99
2_3_4_6_8_12,12v,24v,Pot,150,Rod,feedback-rod-actuator,Feedback Rod Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-feedback-rod-linear-actuator_1366x_175d02f7-2d79-404e-a4dd-6c8445bbbff6_300x300.jpg?v=1645125764,180.99
2_3_4_6_8_12,12v,24v,Pot,200,Rod,feedback-rod-actuator,Feedback Rod Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-feedback-rod-linear-actuator_1366x_175d02f7-2d79-404e-a4dd-6c8445bbbff6_300x300.jpg?v=1645125764,180.99

1_3_6_9_12_18_24_30,12v,,Optical,35,Rod,os-series,Optical Feedback Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-premium-optical-feedback-linear-actuator_2_-min_800x_e2a5fc24-9922-486f-81e2-443e8f1d0848_300x300.jpg?v=1645127346,190.00
1_3_6_9_12_18_24_30,12v,,Optical,200,Rod,os-series,Optical Feedback Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-premium-optical-feedback-linear-actuator_2_-min_800x_e2a5fc24-9922-486f-81e2-443e8f1d0848_300x300.jpg?v=1645127346,190.00
1_3_6_9_12_18_24_30,12v,,Optical,400,Rod,os-series,Optical Feedback Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-premium-optical-feedback-linear-actuator_2_-min_800x_e2a5fc24-9922-486f-81e2-443e8f1d0848_300x300.jpg?v=1645127346,190.00

2_4_6_8_10_12_18_22_24_28_32_36_38,12v,,,22,Rod,high-speed-actuator,High Speed Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-high-speed-linear-actuator_1_-min_800x_acd90cf3-3e8a-46d6-bdd3-b9ff38473954_300x300.jpg?v=1645127615,178.99

3_6_9_12_18_22_24_30,12v,,,40,Rod,tubular-linear-actuator,Sleek Rod Tubular Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-sleek-rod-tubular-linear-actuator_1_-min_800x_42dcbbe2-d8b4-44e2-b038-220b48bc8994_300x300.jpg?v=1645127959,155.99
3_6_9_12_18_22_24_30,12v,,,150,Rod,tubular-linear-actuator,Sleek Rod Tubular Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-sleek-rod-tubular-linear-actuator_1_-min_800x_42dcbbe2-d8b4-44e2-b038-220b48bc8994_300x300.jpg?v=1645127959,155.99

2_4_6_8_10_12,12v,,,15,Rod,mini-rod-actuator,Mini Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-mini-linear-actuator_1_-min_800x_6e14b40d-c42b-4167-bfe3-49309932297e_300x300.jpg?v=1645128028,130.00

6_8_10_12_18_24_30_36_40,12v,24v,Hall,500,Rod,bullet-series-50-cal-linear-actuators,Bullet Series 50 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-linear-actuator-50cal_1_-min_800x_e27f7ed2-6b97-4ae4-aca1-50d916795f58_300x300.jpg?v=1645128163,370.00
6_8_10_12_18_24_30_36_40,12v,24v,Hall,674,Rod,bullet-series-50-cal-linear-actuators,Bullet Series 50 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-linear-actuator-50cal_1_-min_800x_e27f7ed2-6b97-4ae4-aca1-50d916795f58_300x300.jpg?v=1645128163,370.00
6_8_10_12_18_24_30_36_40,12v,24v,Hall,1124,Rod,bullet-series-50-cal-linear-actuators,Bullet Series 50 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-linear-actuator-50cal_1_-min_800x_e27f7ed2-6b97-4ae4-aca1-50d916795f58_300x300.jpg?v=1645128163,370.00

6_8_10_12_14_18_22_24,12v,24v,Hall,224,Rod,bullet-series-36-cal-linear-actuators,Bullet Series 36 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-linear-actuator-36cal_2_-min_800x_6da40551-277f-4e4f-b4fc-a50064721b87_300x300.jpg?v=1645128113,245.00

1_2_3_4_5_6_8_10_12,12v,24v,,26,Rod,bullet-series-23-cal,Bullet Series 23 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-linear-actuator-23cal_1_-min_800x_e53b131d-8a2e-4650-8219-b447c8a78ec2_300x300.jpg?v=1645128068,190.00

1_2_3_4_5_6_7_8,12v,24v,,20,Rod,bullet-series-mini-actuators,Bullet Series Mini Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-mini-linear-actuator-min_800x_31ef02e2-977f-4449-8c42-161b40474911_300x300.jpg?v=1645128246,190.00
1_2_3_4_5_6_7_8,12v,24v,,110,Rod,bullet-series-mini-actuators,Bullet Series Mini Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-mini-linear-actuator-min_800x_31ef02e2-977f-4449-8c42-161b40474911_300x300.jpg?v=1645128246,190.00

3_6_9_12_15_18_24_28_30,12v,,,200,Rod,heavy-duty,Heavy Duty Rod Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-rod-linear-actuator_2_-min_800x_79b22587-fef8-4c11-9db0-d50ca09ed7a7_300x300.jpg?v=1645125928,169.99
3_6_9_12_15_18_24_28_30,12v,,,400,Rod,heavy-duty,Heavy Duty Rod Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-rod-linear-actuator_2_-min_800x_79b22587-fef8-4c11-9db0-d50ca09ed7a7_300x300.jpg?v=1645125928,169.99
3_6_9_12_15_18_24_28_30,12v,,,1000,Rod,heavy-duty,Heavy Duty Rod Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-rod-linear-actuator_2_-min_800x_79b22587-fef8-4c11-9db0-d50ca09ed7a7_300x300.jpg?v=1645125928,169.99

3_6_9_12_15_18_24_30_32_34_36,12v,,,100,Rod,deluxe-rod-actuator,Deluxe Rod Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-deluxe-rod-linear-actuator_1_-min_800x_d32a6b94-784d-49b6-a1f4-bfa7b529c333_300x300.jpg?v=1645127535,178.99

